ensemble,dmfdma_mean,dmfdma_std,dmfdma_lower,dmfdma_upper,dmamma_mean,dmamma_std,dmamma_lower,dmamma_upper,mmanh3_mean,mmanh3_std,mmanh3_lower,mmanh3_upper
34,0.5663151175534322,0.6788660420358713,-0.11255092448243909,1.2451811595893036,0.14956379497645106,0.18065076092635854,-0.03108696594990748,0.33021455590280957,0.7784189957603275,1.1746216126569888,-0.39620261689666136,1.9530406084173162
35,0.5663255962341815,0.6788433574691635,-0.11251776123498192,1.245168953703345,0.14956587719125652,0.18064801267278596,-0.031082135481529438,0.3302138898640425,0.7784321467982388,1.1746181389489525,-0.3961859921507137,1.9530502857471914
36,0.5663360540870422,0.6788206970176807,-0.11248464293063842,1.245156751104723,0.14956796033379796,0.1806452645150276,-0.031077304181229642,0.33021322484882554,0.7784453013040975,1.1746146631104435,-0.396169361806346,1.953059964414541
37,0.5663464911996912,0.6787980606218387,-0.11245156942214751,1.2451445518215298,0.14957004436241583,0.18064251646354104,-0.03107247210112521,0.33021256082595685,0.7784584592068718,1.17461118515851,-0.3961527259516381,1.9530696443653817
38,0.5663569075834007,0.6787754482843962,-0.11241854070099544,1.245132355867797,0.14957212928830615,0.18063976850129448,-0.03106763921298833,0.33021189778960064,0.7784716205213678,1.1746077050766794,-0.3961360845553117,1.9530793255980472
39,0.5663673033705067,0.6787528598516179,-0.11238555648111126,1.2451201632221247,0.14957421513002905,0.1806370206453895,-0.031062805515360448,0.33021123577541855,0.7784847852482464,1.1746042228766334,-0.396119437628387,1.9530890081248797
40,0.5663776786169024,0.6787302953193283,-0.11235261670242591,1.2451079739362307,0.14957630185348159,0.180634272886198,-0.031057971032716403,0.3302105747396796,0.7784979533296725,1.174600738580857,-0.3961027852511845,1.9530986919105295
41,0.5663880333729862,0.678707754543655,-0.1123197211706688,1.245095787916641,0.14957838949584323,0.1806315252262328,-0.031053135730389564,0.33020991472207606,0.7785111247159953,1.174597252191521,-0.39608612747552563,1.9531083769075162
42,0.5663983677326567,0.6786852375351875,-0.11228686980253078,1.2450836052678442,0.14958047811822656,0.1806287775877416,-0.03104829946951504,0.33020925570596815,0.7785242994903769,1.1745937637065083,-0.3960694642161313,1.9531180631968852
43,0.5664000000399585,0.6786826204739613,-0.11228262043400283,1.2450826205139198,0.14958066009598653,0.18062853639075396,-0.031047876294767435,0.3302091964867405,0.7785256635454999,1.1745934439207621,-0.39606778037526225,1.9531191074662622
44,0.5664103115910921,0.6786601300856082,-0.1122498184945161,1.2450704416767002,0.14958275061253193,0.18062578803078824,-0.031043037418256314,0.33020853864332017,0.7785388416112703,1.1745899529560935,-0.3960511113448232,1.9531287945673639
45,0.5664206028312545,0.6786376633216684,-0.11221706049041391,1.245058266152923,0.14958484315992748,0.18062303881858646,-0.03103819565865898,0.3302078819785139,0.7785520230759839,1.174586459890697,-0.39603443681471306,1.953138482966681
46,0.5664224668997778,0.6786348531782098,-0.112212386278432,1.2450573200779878,0.14958503329602155,0.1806228111119538,-0.031037777815932255,0.33020784440797535,0.7785534901373184,1.1745865154104436,-0.3960330252731251,1.9531400055477621
47,0.5664327349007298,0.6786124131306038,-0.11217967822987407,1.2450451480313336,0.14958712823060671,0.18062006094184282,-0.03103293271123611,0.3302071891724495,0.7785666753947178,1.1745830200077336,-0.3960163446130158,1.9531496954024514
48,0.5664429827739245,0.6785899964950179,-0.11214701372109348,1.2450329792689425,0.14958922519715007,0.1806173099210727,-0.031028084723922628,0.33020653511822273,0.7785798639052374,1.174579522536709,-0.3959996586314717,1.9531593864419463
49,0.5664532105820217,0.6785676032845955,-0.11211439270257384,1.2450208138666172,0.14959132416849408,0.18061455807060053,-0.031023233902106456,0.33020588223909464,0.7785930556653063,1.1745760229866247,-0.3959829673213183,1.9531690786519311
50,0.5664634183652616,0.6785452333929527,-0.1120818150276911,1.2450086517582144,0.14959342513999882,0.1806118053695561,-0.031018380229557274,0.3302052305095549,0.7786062505850722,1.1745725214039264,-0.39596627081885427,1.9531787719889986
