iteration,total_runs,obs_realization,par_realization,gdmf,gdma,gmma
1,440,176,176,0.000820762,0.00349251,0.0042728
1,440,177,177,0.00269584,0.00638682,0.00199413
1,440,178,178,0.00336922,0.00377377,8.23647e-05
1,440,179,179,0.000275185,0.00330817,0.0015364
1,440,180,180,0.000266867,0.00168503,0.00212245
1,440,181,181,0.000303142,0.00194147,0.00211285
1,440,182,182,0.00160297,0.00211715,0.00334016
1,440,183,183,0.000303772,0.00194456,0.00211392
1,440,184,184,0.000909894,0.00466421,0.00510857
1,440,185,185,0.00259059,0.00624965,0.00199416
1,440,186,186,0.00337158,0.000888351,0.00135855
1,440,187,187,0.00337103,0.000972319,0.00130698
1,440,188,188,0.00149249,0.0046579,0.00202712
1,440,189,189,0.00347597,0.00734648,0.00196772
1,440,190,190,0.0023302,0.000265984,0.00225236
1,440,191,191,0.000680653,0.00312269,0.00207425
1,440,192,192,0.00312955,0.00433598,0.00963907
1,440,193,193,0.00115317,0.000259503,0.00220788
1,440,194,194,0.00215675,0.00333761,0.00676701
1,440,195,195,0.00336862,0.00536648,0.000143146
1,440,196,196,0.000268786,0.00215335,0.0012723
1,440,197,197,0.00393023,0.0078656,0.00194536
1,440,198,198,0.000410754,0.00238611,0.00210309
1,440,base,base,0.000278039,3.86628e-05,0.000117161
2,500,0,0,0.00028769,0.000228776,0.000363181
2,500,1,1,0.00195545,0.000371515,0.00114975
2,500,2,2,0.00038463,0.000285934,0.000218346
2,500,3,3,0.00300909,0.00429189,7.50753e-05
2,500,4,4,0.000368344,0.00223403,0.00210472
2,500,5,5,0.00336866,0.00505687,6.44095e-05
2,500,6,6,0.00160013,0.0047128,0.0019807
2,500,7,7,0.00193478,0.00040639,0.001079
2,500,8,8,0.000297796,0.00106212,0.00214974
2,500,9,9,0.000577452,0.00279982,0.00202003
2,500,10,10,0.00162011,0.00496004,0.00877508
2,500,11,11,0.000360309,0.000871404,0.00217739
2,500,12,12,0.00123112,0.000924715,0.000129208
2,500,13,13,0.00207034,0.00100904,0.00219273
2,500,14,14,0.00144781,0.00226799,6.10378e-05
