real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,mma_0,mma_1,mma_2,mma_3,mma_4,mma_5,mma_6
10,0.082090999999999997305,0.049513000000000001455,0.028522999999999999743,0.01643100000000000116,0.0094651000000000005963,0.005452399999999999608,0.0031408999999999998552,0,0.01803899999999999948,0.015891999999999999876,0.010638999999999999152,0.0065287000000000001282,0.0038689000000000002034,0.0022579000000000001847,0,0.014531999999999999779,0.037637999999999997847,0.05492699999999999666,0.065930000000000002491,0.072519000000000000128,0.076352000000000003199
11,0.082090999999999997305,0.064866999999999994109,0.050172000000000001319,0.038806000000000000216,0.030015000000000000013,0.023214999999999999525,0.017955999999999999739,0,0.017163000000000001172,0.031677999999999997827,0.042771999999999997522,0.051219000000000000639,0.057620999999999998609,0.062441999999999997506,0,5.8666999999999999206e-05,0.00023179000000000000168,0.00048642999999999998956,0.00079708000000000003241,0.0011444000000000000613,0.0015136999999999999848
12,0.082090999999999997305,0.051970000000000002305,0.031561999999999999778,0.01916800000000000101,0.011641000000000000306,0.007069500000000000263,0.0042932999999999998941,0,0.028504000000000001558,0.044672000000000003372,0.051573000000000000786,0.053157000000000002859,0.0517890000000000017,0.048877999999999997838,0,0.0016035000000000001075,0.005748699999999999817,0.011020000000000000281,0.016595999999999999641,0.022020000000000001378,0.027053000000000000658
13,0.082090999999999997305,0.046802999999999997383,0.025356000000000000066,0.013736999999999999211,0.0074418000000000001509,0.0040315999999999997672,0.0021841000000000000171,0,0.030068000000000000976,0.039676999999999996993,0.038362000000000000266,0.032946999999999997122,0.026620999999999998831,0.020749000000000000082,0,0.0052145999999999997909,0.017021000000000001406,0.029888000000000001372,0.041494999999999997164,0.051096999999999996589,0.058658000000000001806
14,0.082090999999999997305,0.06990699999999999692,0.058668999999999998929,0.049237000000000002986,0.041321999999999997621,0.034679000000000001491,0.029104000000000001397,0,0.010090999999999999276,0.015827999999999998321,0.018152999999999998998,0.018456000000000000183,0.017621000000000001245,0.016199000000000001592,0,0.0020455000000000000092,0.0072303000000000002684,0.013603000000000000508,0.020022000000000001602,0.025871999999999999165,0.030855000000000000482
15,0.082090999999999997305,0.066180000000000002713,0.052318000000000003391,0.04136000000000000093,0.0326969999999999969,0.025847999999999999449,0.020434000000000000774,0,0.008799700000000000577,0.0094903999999999995307,0.0081344999999999993701,0.006588300000000000059,0.0052475999999999998341,0.0041583000000000001906,0,0.0069630999999999998451,0.019324000000000000898,0.030099999999999998285,0.038190000000000001723,0.043838000000000001966,0.047515000000000001679
16,0.082090999999999997305,0.040971000000000000474,0.019196999999999998787,0.0089946000000000001645,0.0042144000000000000905,0.0019745999999999999663,0.00092518999999999999677,0,0.033126999999999996727,0.038600000000000002365,0.033013000000000000678,0.025121999999999998499,0.018014999999999999764,0.012479999999999999774,0,0.0078817999999999995703,0.023535000000000000364,0.038032000000000003304,0.048879999999999999838,0.056030999999999997474,0.060186999999999997446
17,0.082090999999999997305,0.073483999999999993769,0.065119999999999997331,0.05770900000000000335,0.051140999999999998959,0.045319999999999999174,0.040162000000000003253,0,0.0066131999999999996342,0.009942299999999999402,0.011072000000000000244,0.011065000000000000183,0.010498999999999999652,0.0096889000000000002899,0,0.0019927999999999998666,0.0070219999999999995963,0.013291999999999999996,0.019847000000000000058,0.026204999999999999127,0.032139000000000000901
18,0.082090999999999997305,0.068679000000000003934,0.056535000000000001918,0.046538000000000002976,0.038308000000000001772,0.031533999999999999531,0.025957999999999998436,0,0.013367000000000000409,0.025375000000000001721,0.03515900000000000275,0.043113999999999999546,0.049563999999999996948,0.054774999999999997302,0,4.409299999999999949e-05,0.0001806800000000000116,0.00039290000000000000922,0.00066655999999999996069,0.00098999999999999999459,0.0013535999999999999421
19,0.082090999999999997305,0.07152200000000000224,0.061538000000000002421,0.052948000000000002008,0.045557000000000000273,0.039197000000000002673,0.033725999999999999035,0,0.0082979000000000004145,0.012519999999999999879,0.013915000000000000285,0.013809000000000000094,0.012954000000000000237,0.011773000000000000478,0,0.0022698000000000002029,0.0080260999999999995541,0.015207000000000000031,0.022680999999999999772,0.029864000000000001656,0.036477000000000002478
